d_opt,sigma_d,tissue,d,k_rel,loss
4e-08,1e-08,Transport-Resistant,3.25e-08,0.00046415888336127773,3.009628033842823e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.0006812920690579609,2.930490690751364e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.001,2.8663566835233942e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.001467799267622069,2.814312140794105e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.002154434690031882,2.7707674733833463e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.0031622776601683794,2.7322862533786728e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.004641588833612777,2.6960050367626102e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.006812920690579608,2.6597641915203023e-05
4e-08,1e-08,Transport-Resistant,3.25e-08,0.01,2.6221093370929686e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,1e-06,3.301247606820646e-06
4e-08,1e-08,Transport-Resistant,3.5e-08,1.4677992676220705e-06,4.406134182606603e-06
4e-08,1e-08,Transport-Resistant,3.5e-08,2.1544346900318822e-06,6.079201010762166e-06
4e-08,1e-08,Transport-Resistant,3.5e-08,3.162277660168379e-06,8.496432234792315e-06
4e-08,1e-08,Transport-Resistant,3.5e-08,4.641588833612782e-06,1.1764771891830316e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,6.8129206905796085e-06,1.583801135999175e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,9.999999999999999e-06,2.0452874497920475e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,1.4677992676220675e-05,2.5123970786940517e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,2.1544346900318823e-05,2.9242762121482844e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,3.1622776601683795e-05,3.227966681946043e-05
